Price,Bedrooms,Bathrooms,Area_sqft,Refined_Location,Bahria,CAPITAL HEIGHTS,DHA,F-10,F-10/1,F-10/2,F-10/3,F-11,F-11/1,F-11/3,F-11/4,F-6,F-7,F-8,G-10,G-10 MARKAZ,G-10/2,G-10/3,G-10/4,G-11,G-11 MARKAZ,G-11/1,G-11/3,G-11/4,G-13,G-13/1,G-13/2,G-13/3,G-13/4,G-14,G-14/2,G-14/4,G-8 MARKAZ,G-9,G-9/1,G-9/4,Gulberg,Naval_Anchorage,Other,PARK AVENUE,PWD,SUKH CHAYN RESIDENCE,Soan_Garden,THE CENTAURUS
99500000.0,7,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129000000.0,6,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88000000.0,6,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115000000.0,5,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116500000.0,6,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139500000.0,5,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108000000.0,5,7,3811.514,G-13/1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80000000.0,6,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100000000.0,5,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18000000.0,2,2,843.9780999999999,G-11/4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110000000.0,5,6,5445.0,DHA,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50000000.0,4,5,1361.255,G-14/4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
